,state,sex,age,population
261,Alabama,0,0,56901
262,Alabama,0,1,58290
263,Alabama,0,2,59073
264,Alabama,0,3,59799
265,Alabama,0,4,60294
266,Alabama,0,5,59568
267,Alabama,0,6,58599
268,Alabama,0,7,59537
269,Alabama,0,8,60023
270,Alabama,0,9,60241
271,Alabama,0,10,60897
272,Alabama,0,11,63083
273,Alabama,0,12,62906
274,Alabama,0,13,61883
275,Alabama,0,14,61729
276,Alabama,0,15,61740
277,Alabama,0,16,61799
278,Alabama,0,17,61924
279,Alabama,0,18,62938
280,Alabama,0,19,64125
281,Alabama,0,20,63587
282,Alabama,0,21,64201
283,Alabama,0,22,63943
284,Alabama,0,23,63719
285,Alabama,0,24,63922
286,Alabama,0,25,65079
287,Alabama,0,26,65208
288,Alabama,0,27,67027
289,Alabama,0,28,69478
290,Alabama,0,29,68758
291,Alabama,0,30,64852
292,Alabama,0,31,61469
293,Alabama,0,32,59980
294,Alabama,0,33,59615
295,Alabama,0,34,60721
296,Alabama,0,35,58941
297,Alabama,0,36,59921
298,Alabama,0,37,60346
299,Alabama,0,38,60696
300,Alabama,0,39,62200
301,Alabama,0,40,58159
302,Alabama,0,41,57993
303,Alabama,0,42,57852
304,Alabama,0,43,55498
305,Alabama,0,44,58174
306,Alabama,0,45,57008
307,Alabama,0,46,58838
308,Alabama,0,47,61959
309,Alabama,0,48,65460
310,Alabama,0,49,64750
311,Alabama,0,50,60738
312,Alabama,0,51,59494
313,Alabama,0,52,59786
314,Alabama,0,53,61321
315,Alabama,0,54,65925
316,Alabama,0,55,66906
317,Alabama,0,56,66695
318,Alabama,0,57,67073
319,Alabama,0,58,67308
320,Alabama,0,59,68221
321,Alabama,0,60,65605
322,Alabama,0,61,65211
323,Alabama,0,62,65365
324,Alabama,0,63,63117
325,Alabama,0,64,62042
326,Alabama,0,65,59584
327,Alabama,0,66,56766
328,Alabama,0,67,54694
329,Alabama,0,68,52697
330,Alabama,0,69,51707
331,Alabama,0,70,50567
332,Alabama,0,71,49884
333,Alabama,0,72,51612
334,Alabama,0,73,37091
335,Alabama,0,74,36845
336,Alabama,0,75,35441
337,Alabama,0,76,36173
338,Alabama,0,77,30575
339,Alabama,0,78,27572
340,Alabama,0,79,26053
341,Alabama,0,80,23977
342,Alabama,0,81,22580
343,Alabama,0,82,19594
344,Alabama,0,83,18222
345,Alabama,0,84,16660
346,Alabama,0,85,91543
348,Alabama,1,0,29080
349,Alabama,1,1,29711
350,Alabama,1,2,29954
351,Alabama,1,3,30366
352,Alabama,1,4,30604
353,Alabama,1,5,30339
354,Alabama,1,6,29828
355,Alabama,1,7,30207
356,Alabama,1,8,30945
357,Alabama,1,9,30692
358,Alabama,1,10,31082
359,Alabama,1,11,31969
360,Alabama,1,12,32069
361,Alabama,1,13,31501
362,Alabama,1,14,31513
363,Alabama,1,15,31574
364,Alabama,1,16,31364
365,Alabama,1,17,31391
